Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0073540,2024-05-13,2024-05-13,,"Picnic at Hanging Rock","Picnic at Hanging Rock",https://www.imdb.com/title/tt0073540/,Movie,7.4,115,1975,"Drama, Mystery",44893,1979-02-02,"Peter Weir",,
2,tt0099040,2024-05-13,2024-05-13,,"An Angel at My Table","An Angel at My Table",https://www.imdb.com/title/tt0099040/,Movie,7.4,158,1990,"Biography, Drama",9316,1990-09-20,"Jane Campion",,
3,tt0037674,2024-05-13,2024-05-13,,"Children of Paradise","Les enfants du paradis",https://www.imdb.com/title/tt0037674/,Movie,8.3,189,1945,"Drama, Romance",22287,1946-11-15,"Marcel Carné",,
4,tt2347569,2024-05-13,2024-05-13,,"Frances Ha","Frances Ha",https://www.imdb.com/title/tt2347569/,Movie,7.4,86,2012,"Comedy, Drama, Romance",101144,2013-05-17,"Noah Baumbach",9,2014-01-05
5,tt0075612,2024-05-13,2024-05-13,,"3 Women","3 Women",https://www.imdb.com/title/tt0075612/,Movie,7.7,124,1977,"Drama, Mystery, Thriller",19532,1977-04-29,"Robert Altman",,
6,tt0065867,2024-05-13,2024-05-13,,"Husbands","Husbands",https://www.imdb.com/title/tt0065867/,Movie,7.1,154,1970,"Comedy, Drama",8018,1970-12-08,"John Cassavetes",,
7,tt0035015,2024-05-13,2024-05-13,,"The Magnificent Ambersons","The Magnificent Ambersons",https://www.imdb.com/title/tt0035015/,Movie,7.6,88,1942,"Drama, Romance",28447,1942-07-10,"Orson Welles, Fred Fleck, Robert Wise",,
8,tt0080009,2024-05-13,2024-05-13,,"Tess","Tess",https://www.imdb.com/title/tt0080009/,Movie,7.3,186,1979,"Drama, Romance",19520,1980-12-12,"Roman Polanski",,
9,tt0077405,2024-05-13,2024-05-13,,"Days of Heaven","Days of Heaven",https://www.imdb.com/title/tt0077405/,Movie,7.7,94,1978,"Drama, Romance",67789,1978-10-06,"Terrence Malick",,
10,tt0113537,2024-05-13,2024-05-13,,"Kicking and Screaming","Kicking and Screaming",https://www.imdb.com/title/tt0113537/,Movie,6.6,96,1995,"Comedy, Drama, Romance",15956,1995-10-06,"Noah Baumbach",,
11,tt0070510,2024-05-13,2024-05-13,,"Paper Moon","Paper Moon",https://www.imdb.com/title/tt0070510/,Movie,8.1,102,1973,"Comedy, Crime, Drama",56636,1973-05-09,"Peter Bogdanovich",,
